query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,1,0.0,7.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,arg,0,2,0.0,8.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,bgd,0,1,0.0,10.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,col,0,1,0.0,5.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,fra,0,1,0.0,10.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,idn,0,1,0.0,5.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,ind,0,1,0.0,7.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,mkd,0,1,0.0,7.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores online,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,0,5,0.0,6.2,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture stores retailers,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,6,0.0,7.2,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian furniture style,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,DESKTOP,usa,0,5,0.0,14.4,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian furniture style,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,mys,0,1,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian furniture style,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,0,1,0.0,14.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian furniture style,https://moderncre8ve.com/collections/scandinavian-design-furniture,DESKTOP,gbr,0,1,0.0,72.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture style,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,3,0.0,1.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture style,https://moderncre8ve.com/collections/scandinavian-design-furniture,TABLET,usa,0,3,0.0,1.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavian furniture style characteristics,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,DESKTOP,usa,0,4,0.0,8.2,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
"scandinavian furniture style,",https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,DESKTOP,usa,0,7,0.0,19.4,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
